GraphSize,Connectivity,Drivers,Customers,Rides,Satisfaction,DriverWaitTime,RideDist,WeightAvg
10000,4.336499691,300,50,1379,4.786366933,91.56200145,4472.97897,753.2812284
10000,3.932206869,400,50,1326,4.778355958,126.7993967,4637.966817,753.4713181
10000,3.21804285,500,50,1204,4.784468439,146.7898671,4587.645349,742.9216576
10000,3.981255293,100,100,2559,4.799257522,3.72254787,4219.858929,751.7508037
10000,4.104067326,200,100,2722,4.793570904,25.26818516,3325.737325,744.0809415
10000,4.457806587,300,100,2782,4.787095615,43.24910137,3419.346154,751.4872841
10000,4.989925861,400,100,2874,4.783576896,60.43876131,2932.88483,750.397291
10000,4.653284073,500,100,2698,4.775463306,78.63194959,3953.947739,752.3196855
10000,3.114122391,100,150,2331,3.852895753,0.3753753754,6641.800944,753.4333783
10000,3.558714628,200,150,3545,4.796445698,14.5438646,4235.488858,758.7185077
10000,4.799684048,300,150,3649,4.786105782,30.43080296,4214.000274,753.7495938
10000,3.988505363,400,150,3482,4.786243538,46.10396324,4671.487364,751.8044219
10000,3.802176476,500,150,3528,4.781774376,59.10941043,4661.990363,749.5845474
10000,4.153223991,100,200,3206,3.323830318,0.294135995,2933.059888,751.6444701
10000,4.538916111,200,200,3825,4.793751634,13.79424837,3488.269542,750.3937178
10000,3.640764713,300,200,3787,4.790546607,25.83073673,4955.242408,751.1383306
10000,3.340060711,400,200,3699,4.789186267,42.44849959,4224.318194,750.3332535
10000,4.860644341,500,200,3905,4.779974392,54.25147247,3004.976953,753.3482
10000,4.337839603,100,250,3090,2.467993528,0.2883495146,3805.219417,748.4697123
10000,3.937871456,200,250,4035,4.795266419,10.6535316,4045.556134,751.5533438
10000,3.373901606,300,250,3857,4.792351569,24.85299456,4807.424942,753.3625533
10000,4.479793549,400,250,3779,4.784413866,42.83778777,3580.706801,748.3584661
10000,3.738773823,500,250,3853,4.782507137,52.81079678,4683.539839,753.7650016
10000,3.924640656,100,300,3121,1.548766421,0.2467157962,3386.908042,750.6929896
10000,4.19574213,200,300,3808,4.793986345,12.06538866,4689.285189,750.7078727
10000,4.28796339,300,300,3960,4.790757576,25.91161616,3554.349747,751.7924555
10000,4.76728344,400,300,3950,4.783392405,40.91291139,3318.311392,754.0542831
10000,3.212753057,500,300,3707,4.783140005,53.32991637,5636.697869,751.2053533
10000,4.743741512,100,350,3173,1.183769303,0.2741884652,3714.143397,750.0511761
10000,3.120022297,200,350,3778,4.797776601,9.289835892,4927.123081,749.7386735
10000,3.194822311,300,350,3932,4.793921668,23.54806714,5045.917599,749.9446079
